run_id,mode,concurrency,throughput_rps,latency_p95_ms,latency_p99_ms
run-20260404-124956,direct,1,1196.01,1.933,3.859
run-20260404-124956,direct,4,2417.192,4.694,19.267
run-20260404-124956,direct,8,3277.321,8.08,10.021
run-20260404-124956,mcpd,1,449.483,4.367,7.14
run-20260404-124956,mcpd,4,570.747,11.877,27.385
run-20260404-124956,mcpd,8,620.609,21.074,40.583
run-20260404-125018,direct,1,172.192,15.692,35.651
run-20260404-125018,direct,4,387.36,32.087,51.507
run-20260404-125018,direct,8,605.563,31.745,55.625
run-20260404-125018,mcpd,1,113.837,21.063,37.826
run-20260404-125018,mcpd,4,129.649,32.946,64.635
run-20260404-125018,mcpd,8,387.149,41.072,51.623
run-20260404-125045,direct,1,568.901,4.39,6.639
run-20260404-125045,direct,4,1145.221,10.629,27.745
run-20260404-125045,direct,8,1765.027,10.568,16.85
run-20260404-125045,mcpd,1,200.987,9.821,27.907
run-20260404-125045,mcpd,4,344.167,20.238,38.193
run-20260404-125045,mcpd,8,334.995,43.347,52.649
