kind,concurrency,lhs,rhs,throughput_ratio,p95_ratio,p99_ratio
mcpd_vs_direct,1,mcpd,direct,0.375819,2.259183,1.85022
mcpd_vs_direct,4,mcpd,direct,0.23612,2.530251,1.421342
mcpd_vs_direct,8,mcpd,direct,0.189365,2.608168,4.049795
variant_vs_mcpd,1,forwarder_only,mcpd,0.783687,1.441951,1.465546
variant_vs_mcpd,4,forwarder_only,mcpd,1.065013,0.908226,0.466715
variant_vs_mcpd,8,forwarder_only,mcpd,0.99064,1.546503,1.029101
variant_vs_mcpd,1,userspace_semantic_plane,mcpd,0.787571,1.365697,1.467787
variant_vs_mcpd,4,userspace_semantic_plane,mcpd,0.837462,1.400438,1.340369
variant_vs_mcpd,8,userspace_semantic_plane,mcpd,0.740378,1.669118,1.527142
