cell_id,system,concurrency,rep,rps,p50_ms,p95_ms,p99_ms,error_rate,knee_c
seccomp-c50-rep1,seccomp,50,1,1830.978,27.2236,38.4482,49.7937,0.0,400.0
seccomp-c400-rep1,seccomp,400,1,60653.383,0.006,0.0088,150.9847,0.988006,400.0
userspace-c100-rep1,userspace,100,1,1799.15,55.3287,69.9217,85.5222,0.0,400.0
kernel-c800-rep1,kernel,800,1,53370.417,0.0061,0.0096,164.9278,0.986069,400.0
userspace-c400-rep1,userspace,400,1,60135.9,0.0061,0.0088,161.5269,0.987738,400.0
userspace-c800-rep1,userspace,800,1,50525.667,0.0064,0.0107,153.0887,0.983994,400.0
kernel-c200-rep1,kernel,200,1,77638.35,0.006,0.0075,0.0323,0.993058,400.0
userspace-c50-rep1,userspace,50,1,1769.967,28.3078,39.9011,50.1377,0.0,400.0
seccomp-c800-rep1,seccomp,800,1,50781.456,0.0064,0.0097,152.9638,0.984167,400.0
kernel-c50-rep1,kernel,50,1,1574.389,30.8433,49.7615,59.1633,0.0,400.0
seccomp-c200-rep1,seccomp,200,1,76372.689,0.006,0.0074,0.0241,0.992293,400.0
userspace-c200-rep1,userspace,200,1,75530.167,0.0061,0.0074,0.0807,0.992159,400.0
seccomp-c100-rep1,seccomp,100,1,1626.839,61.2956,76.4058,90.9219,0.0,400.0
kernel-c100-rep1,kernel,100,1,1487.417,66.2309,91.9395,108.1616,0.0,400.0
kernel-c400-rep1,kernel,400,1,56811.689,0.0064,0.0093,175.6821,0.987797,400.0
kernel-c200-rep2,kernel,200,2,75555.722,0.0062,0.0074,0.0266,0.992854,400.0
seccomp-c400-rep2,seccomp,400,2,53135.4,0.0066,0.0093,165.1256,0.985849,400.0
seccomp-c50-rep2,seccomp,50,2,1733.372,28.915,40.6351,52.5176,0.0,400.0
userspace-c400-rep2,userspace,400,2,55297.028,0.0064,0.0097,169.3581,0.986102,400.0
kernel-c800-rep2,kernel,800,2,51076.706,0.0065,0.0103,178.2125,0.985585,400.0
kernel-c50-rep2,kernel,50,2,1544.978,31.4921,50.6157,61.0279,0.0,400.0
userspace-c50-rep2,userspace,50,2,1626.711,30.7168,43.1964,54.8585,0.0,400.0
userspace-c800-rep2,userspace,800,2,49218.928,0.0066,0.0103,167.9312,0.983801,400.0
userspace-c100-rep2,userspace,100,2,1719.189,58.3027,71.8413,85.7211,0.0,400.0
userspace-c200-rep2,userspace,200,2,77133.889,0.006,0.0073,0.0145,0.992585,400.0
seccomp-c800-rep2,seccomp,800,2,50147.939,0.0065,0.0109,163.6097,0.984027,400.0
kernel-c100-rep2,kernel,100,2,1542.0,63.8571,88.3798,102.5596,0.0,400.0
kernel-c400-rep2,kernel,400,2,56644.917,0.0064,0.009,172.3034,0.98763,400.0
seccomp-c100-rep2,seccomp,100,2,1724.439,57.9979,69.9089,85.6446,0.0,400.0
seccomp-c200-rep2,seccomp,200,2,76140.517,0.0061,0.0074,0.0773,0.992419,400.0
kernel-c200-rep3,kernel,200,3,75880.906,0.0062,0.0073,0.0185,0.992867,400.0
kernel-c400-rep3,kernel,400,3,57295.456,0.0064,0.0095,174.8743,0.987968,400.0
kernel-c100-rep3,kernel,100,3,1557.922,63.26,85.7273,100.9481,0.0,400.0
userspace-c400-rep3,userspace,400,3,55774.55,0.0064,0.0088,158.3068,0.986518,400.0
seccomp-c100-rep3,seccomp,100,3,1726.083,58.0293,70.9094,86.5998,0.0,400.0
seccomp-c50-rep3,seccomp,50,3,1726.611,28.9503,39.9128,51.6485,0.0,400.0
seccomp-c800-rep3,seccomp,800,3,49897.872,0.0065,0.0102,170.0497,0.984001,400.0
userspace-c50-rep3,userspace,50,3,1731.278,28.9606,40.8536,52.734,0.0,400.0
kernel-c50-rep3,kernel,50,3,1421.089,34.1105,54.3019,64.0065,0.0,400.0
seccomp-c400-rep3,seccomp,400,3,55120.833,0.0065,0.0088,149.2318,0.986446,400.0
userspace-c200-rep3,userspace,200,3,76808.467,0.006,0.0075,0.0436,0.992565,400.0
userspace-c800-rep3,userspace,800,3,49980.794,0.0064,0.011,165.3091,0.983805,400.0
userspace-c100-rep3,userspace,100,3,1733.861,57.6025,70.3764,85.2354,0.0,400.0
seccomp-c200-rep3,seccomp,200,3,75998.789,0.006,0.0074,0.0516,0.992373,400.0
kernel-c800-rep3,kernel,800,3,51525.539,0.0064,0.0096,180.0116,0.9858,400.0
